filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,0,"{""name"":""rect"",""x"":155,""y"":240,""width"":66,""height"":104}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,1,"{""name"":""rect"",""x"":133,""y"":424,""width"":61,""height"":90}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,2,"{""name"":""rect"",""x"":399,""y"":272,""width"":121,""height"":47}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,3,"{""name"":""rect"",""x"":410,""y"":466,""width"":55,""height"":52}","{""Chip Type"":""Optimal""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,4,"{""name"":""rect"",""x"":595,""y"":477,""width"":53,""height"":44}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,5,"{""name"":""rect"",""x"":720,""y"":275,""width"":47,""height"":58}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,6,"{""name"":""rect"",""x"":931,""y"":269,""width"":45,""height"":41}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,7,"{""name"":""rect"",""x"":1141,""y"":265,""width"":40,""height"":69}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,8,"{""name"":""rect"",""x"":858,""y"":472,""width"":76,""height"":54}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,9,"{""name"":""rect"",""x"":1105,""y"":483,""width"":66,""height"":48}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,10,"{""name"":""rect"",""x"":158,""y"":815,""width"":72,""height"":48}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,11,"{""name"":""rect"",""x"":170,""y"":1016,""width"":27,""height"":54}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,12,"{""name"":""rect"",""x"":382,""y"":832,""width"":54,""height"":54}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,13,"{""name"":""rect"",""x"":390,""y"":1008,""width"":66,""height"":34}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,14,"{""name"":""rect"",""x"":602,""y"":820,""width"":29,""height"":87}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,15,"{""name"":""rect"",""x"":627,""y"":1002,""width"":51,""height"":67}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,16,"{""name"":""rect"",""x"":811,""y"":835,""width"":29,""height"":51}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,17,"{""name"":""rect"",""x"":841,""y"":1020,""width"":27,""height"":42}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,18,"{""name"":""rect"",""x"":963,""y"":839,""width"":101,""height"":35}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,19,"{""name"":""rect"",""x"":1007,""y"":1012,""width"":54,""height"":36}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,20,"{""name"":""rect"",""x"":1205,""y"":811,""width"":25,""height"":67}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,21,"{""name"":""rect"",""x"":1182,""y"":1012,""width"":48,""height"":55}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,22,"{""name"":""rect"",""x"":153,""y"":1352,""width"":48,""height"":36}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,23,"{""name"":""rect"",""x"":131,""y"":1497,""width"":59,""height"":35}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,24,"{""name"":""rect"",""x"":144,""y"":1658,""width"":49,""height"":43}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,25,"{""name"":""rect"",""x"":360,""y"":1363,""width"":49,""height"":31}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,26,"{""name"":""rect"",""x"":390,""y"":1489,""width"":41,""height"":47}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,27,"{""name"":""rect"",""x"":392,""y"":1638,""width"":28,""height"":51}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,28,"{""name"":""rect"",""x"":573,""y"":1347,""width"":40,""height"":35}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,29,"{""name"":""rect"",""x"":591,""y"":1511,""width"":35,""height"":36}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,30,"{""name"":""rect"",""x"":595,""y"":1661,""width"":24,""height"":39}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,31,"{""name"":""rect"",""x"":796,""y"":1352,""width"":30,""height"":58}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,32,"{""name"":""rect"",""x"":802,""y"":1509,""width"":29,""height"":49}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,33,"{""name"":""rect"",""x"":798,""y"":1652,""width"":35,""height"":38}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,34,"{""name"":""rect"",""x"":1026,""y"":1646,""width"":31,""height"":19}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,35,"{""name"":""rect"",""x"":1036,""y"":1498,""width"":27,""height"":44}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,36,"{""name"":""rect"",""x"":1014,""y"":1363,""width"":50,""height"":34}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,37,"{""name"":""rect"",""x"":1212,""y"":1371,""width"":40,""height"":28}","{""Chip Type"":""Accepted""}"
A1 Gronkropp ss1672 210929.JPG,2414780,{},144,38,"{""name"":""rect"",""x"":1218,""y"":1641,""width"":33,""height"":33}","{""Chip Type"":""Accepted""}"
